"Date","Home","Away","Result","Score_Home","Score_Away","Odds_Home","Odds_Draw","Odds_Away","Division","Season","Coming5","IsPlayed"
2018-12-22,"RB Leipzig","Werder Bremen","H",3,2,1.44,4.75,7,"Bundesliga",2019,0,1
2018-12-22,"Stuttgart","Schalke 04","A",1,3,3.2,3.3,2.3,"Bundesliga",2019,0,1
2018-12-22,"Hull","Swansea","H",3,2,2.75,3.4,2.75,"Championship",2019,0,1
2018-12-22,"Rotherham","West Brom","A",0,4,4.33,3.8,1.75,"Championship",2019,0,1
2018-12-22,"Brentford","Bolton","H",1,0,1.5,4.5,7.5,"Championship",2019,0,1
2018-12-22,"Sheffield Weds","Preston","H",1,0,3.2,3.4,2.4,"Championship",2019,0,1
2018-12-22,"Derby","Bristol City","D",1,1,2.04,3.5,3.9,"Championship",2019,0,1
2018-12-22,"Stoke","Millwall","H",1,0,1.83,3.7,4.75,"Championship",2019,0,1
2018-12-22,"Wigan","Birmingham","A",0,3,2.6,3.25,3,"Championship",2019,0,1
2018-12-22,"Ipswich","Sheffield United","D",1,1,5.25,3.5,1.83,"Championship",2019,0,1
2018-12-22,"Nott'm Forest","QPR","A",0,1,1.95,3.6,4.2,"Championship",2019,0,1
2018-12-22,"Reading","Middlesbrough","A",0,1,4.6,3.5,1.9,"Championship",2019,0,1
2018-12-22,"Blackburn","Norwich","A",0,1,2.9,3.4,2.6,"Championship",2019,0,1
2018-12-22,"Cardiff","Man United","A",1,5,6.5,4.33,1.55,"Premier League",2019,0,1
2018-12-22,"Huddersfield","Southampton","A",1,3,2.9,3.1,2.8,"Premier League",2019,0,1
2018-12-22,"Man City","Crystal Palace","A",2,3,1.14,10,21,"Premier League",2019,0,1
2018-12-22,"Norrkoping","Fulham","D",0,0,2,3.5,4.2,"Premier League",2019,0,1
2018-12-22,"Bournemouth","Brighton","H",2,0,1.95,3.75,4,"Premier League",2019,0,1
2018-12-22,"West Ham","Watford","A",0,2,2.35,3.6,3.1,"Premier League",2019,0,1
2018-12-22,"Chelsea","Leicester","A",0,1,1.36,5.25,10,"Premier League",2019,0,1
2018-12-22,"Arsenal","Burnley","H",3,1,1.22,6.75,17,"Premier League",2019,0,1
2018-12-21,"Dortmund","M'gladbach","H",2,1,1.5,4.5,6,"Bundesliga",2019,0,1
2018-12-21,"Wolves","Liverpool","A",0,2,6.75,4.1,1.57,"Premier League",2019,0,1
2018-12-19,"Werder Bremen","Hoffenheim","D",1,1,3.1,4.2,2.04,"Bundesliga",2019,0,1
2018-12-19,"Freiburg","Hannover","D",1,1,1.75,3.8,4.6,"Bundesliga",2019,0,1
2018-12-19,"Mainz","Ein Frankfurt","D",2,2,3.25,3.5,2.2,"Bundesliga",2019,0,1
2018-12-19,"Bayern Munich","RB Leipzig","H",1,0,1.28,6,9.5,"Bundesliga",2019,0,1
2018-12-19,"Schalke 04","Leverkusen","A",1,2,2.45,3.4,2.87,"Bundesliga",2019,0,1
2018-12-18,"Wolfsburg","Stuttgart","H",2,0,1.6,4,5.5,"Bundesliga",2019,0,1
